order_item_id,order_id,line_number,sku,product_name,product_category,quantity,unit_price,extended_price
OI0001,O0001,1,SKU-TSHIRT-001,Classic Tee,apparel,1,24.00,24.00
OI0002,O0001,2,SKU-MUG-002,Logo Mug,home,2,15.00,30.00
OI0003,O0002,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,48.50,48.50
OI0004,O0002,2,SKU-SOCK-004,Cotton Socks,apparel,3,10.00,30.00
OI0005,O0003,1,SKU-JACKET-005,Light Jacket,apparel,1,75.00,75.00
OI0006,O0003,2,SKU-CAP-006,Baseball Cap,accessories,2,22.50,45.00
OI0007,O0004,1,SKU-MUG-002,Logo Mug,home,1,15.00,15.00
OI0008,O0004,2,SKU-NOTE-007,Notebook,stationery,1,17.00,17.00
OI0009,O0005,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,110.00,110.00
OI0010,O0005,2,SKU-BOTTLE-009,Steel Bottle,home,2,50.00,100.00
OI0011,O0006,1,SKU-TSHIRT-001,Classic Tee,apparel,1,22.00,22.00
OI0012,O0006,2,SKU-MUG-002,Logo Mug,home,1,22.00,22.00
OI0013,O0007,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,49.00,49.00
OI0014,O0007,2,SKU-CABLE-010,USB-C Cable,electronics,2,20.00,40.00
OI0015,O0008,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,350.00,350.00
OI0016,O0008,2,SKU-CASE-012,Phone Case,electronics,2,150.00,300.00
OI0017,O0009,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0018,O0009,2,SKU-PEN-013,Premium Pen,stationery,1,15.00,15.00
OI0019,O0010,1,SKU-TSHIRT-001,Classic Tee,apparel,1,28.00,28.00
OI0020,O0010,2,SKU-MUG-002,Logo Mug,home,1,35.00,35.00
OI0021,O0011,1,SKU-JACKET-005,Light Jacket,apparel,1,92.00,92.00
OI0022,O0011,2,SKU-CAP-006,Baseball Cap,accessories,3,21.00,63.00
OI0023,O0012,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,51.00,51.00
OI0024,O0012,2,SKU-BOTTLE-009,Steel Bottle,home,2,20.00,40.00
OI0025,O0013,1,SKU-MUG-002,Logo Mug,home,1,18.00,18.00
OI0026,O0013,2,SKU-CABLE-010,USB-C Cable,electronics,1,20.00,20.00
OI0027,O0014,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,94.00,94.00
OI0028,O0014,2,SKU-TSHIRT-001,Classic Tee,apparel,2,20.00,40.00
OI0029,O0015,1,SKU-SOCK-004,Cotton Socks,apparel,3,9.00,27.00
OI0030,O0015,2,SKU-CAP-006,Baseball Cap,accessories,1,30.00,30.00
OI0031,O0016,1,SKU-MUG-002,Logo Mug,home,1,20.00,20.00
OI0032,O0016,2,SKU-NOTE-007,Notebook,stationery,2,11.00,22.00
OI0033,O0017,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,47.00,47.00
OI0034,O0017,2,SKU-BOTTLE-009,Steel Bottle,home,1,26.00,26.00
OI0035,O0018,1,SKU-CAP-006,Baseball Cap,accessories,2,19.00,38.00
OI0036,O0018,2,SKU-CABLE-010,USB-C Cable,electronics,1,50.00,50.00
OI0037,O0019,1,SKU-JACKET-005,Light Jacket,apparel,1,82.00,82.00
OI0038,O0019,2,SKU-MUG-002,Logo Mug,home,2,15.00,30.00
OI0039,O0020,1,SKU-NOTE-007,Notebook,stationery,1,10.00,10.00
OI0040,O0020,2,SKU-PEN-013,Premium Pen,stationery,1,16.00,16.00
OI0041,O0021,1,SKU-TSHIRT-001,Classic Tee,apparel,2,18.00,36.00
OI0042,O0021,2,SKU-BOTTLE-009,Steel Bottle,home,1,24.00,24.00
OI0043,O0022,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,54.00,54.00
OI0044,O0022,2,SKU-CABLE-010,USB-C Cable,electronics,2,20.00,40.00
OI0045,O0023,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,99.00,99.00
OI0046,O0023,2,SKU-CAP-006,Baseball Cap,accessories,2,25.00,50.00
OI0047,O0024,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,250.00,250.00
OI0048,O0024,2,SKU-CASE-012,Phone Case,electronics,2,85.00,170.00
OI0049,O0025,1,SKU-MUG-002,Logo Mug,home,2,16.00,32.00
OI0050,O0025,2,SKU-NOTE-007,Notebook,stationery,2,10.00,20.00
OI0051,O0026,1,SKU-JACKET-005,Light Jacket,apparel,1,98.00,98.00
OI0052,O0026,2,SKU-TSHIRT-001,Classic Tee,apparel,2,20.00,40.00
OI0053,O0027,1,SKU-MUG-002,Logo Mug,home,1,14.00,14.00
OI0054,O0027,2,SKU-PEN-013,Premium Pen,stationery,1,17.00,17.00
OI0055,O0028,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,45.00,45.00
OI0056,O0028,2,SKU-CABLE-010,USB-C Cable,electronics,2,20.00,40.00
OI0057,O0029,1,SKU-JACKET-005,Light Jacket,apparel,1,76.00,76.00
OI0058,O0029,2,SKU-CAP-006,Baseball Cap,accessories,2,20.00,40.00
OI0059,O0030,1,SKU-NOTE-007,Notebook,stationery,2,12.00,24.00
OI0060,O0030,2,SKU-MUG-002,Logo Mug,home,1,0.00,0.00
OI0061,O0031,1,SKU-TSHIRT-001,Classic Tee,apparel,1,32.00,32.00
OI0062,O0031,2,SKU-BOTTLE-009,Steel Bottle,home,1,35.00,35.00
OI0063,O0032,1,SKU-MUG-002,Logo Mug,home,1,20.00,20.00
OI0064,O0032,2,SKU-CABLE-010,USB-C Cable,electronics,1,27.00,27.00
OI0065,O0033,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,50.00,50.00
OI0066,O0033,2,SKU-SOCK-004,Cotton Socks,apparel,4,10.00,40.00
OI0067,O0034,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,112.00,112.00
OI0068,O0034,2,SKU-CAP-006,Baseball Cap,accessories,2,30.00,60.00
OI0069,O0035,1,SKU-JACKET-005,Light Jacket,apparel,1,64.00,64.00
OI0070,O0035,2,SKU-BOTTLE-009,Steel Bottle,home,1,35.00,35.00
OI0071,O0036,1,SKU-NOTE-007,Notebook,stationery,1,13.00,13.00
OI0072,O0036,2,SKU-PEN-013,Premium Pen,stationery,2,11.00,22.00
OI0073,O0037,1,SKU-TSHIRT-001,Classic Tee,apparel,2,19.00,38.00
OI0074,O0037,2,SKU-MUG-002,Logo Mug,home,1,43.00,43.00
OI0075,O0038,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,310.00,310.00
OI0076,O0038,2,SKU-CASE-012,Phone Case,electronics,2,100.00,200.00
